1	2	3	4	5	6	7	8
NonRel	has received [s1] electroconvulsive therapy treatment [e1] within the last @NUMBER years or within the current mde or failed a course of electroconvulsive treatment at any time	has received electroconvulsive therapy treatment within the last @NUMBER years or within the current [s2] mde [e2] or failed a course of electroconvulsive treatment at any time	treatment	treatment	0_0	0_2	0.0
NonRel	has received electroconvulsive therapy treatment within the last @NUMBER years or within the current [s1] mde [e1] or failed a course of electroconvulsive treatment at any time	has received electroconvulsive therapy treatment within the last @NUMBER years or within the current mde or failed a course of [s2] electroconvulsive treatment [e2] at any time	treatment	treatment	0_2	0_3	0.0
NonRel	has used [s1] opioid agonists [e1] ( eg , codeine , oxycodone , tramadol , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , [s2] codeine [e2] , oxycodone , tramadol , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	treatment	treatment	1_0	1_1	1.0
NonRel	has used opioid agonists ( eg , [s1] codeine [e1] , oxycodone , tramadol , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , codeine , [s2] oxycodone [e2] , tramadol , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	treatment	treatment	1_1	1_2	1.0
NonRel	has used opioid agonists ( eg , codeine , [s1] oxycodone [e1] , tramadol , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , codeine , oxycodone , [s2] tramadol [e2] , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	treatment	treatment	1_2	1_3	1.0
NonRel	has used opioid agonists ( eg , codeine , oxycodone , [s1] tramadol [e1] , morphine ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , codeine , oxycodone , tramadol , [s2] morphine [e2] ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	treatment	treatment	1_3	1_4	1.0
NonRel	has used opioid agonists ( eg , codeine , oxycodone , tramadol , [s1] morphine [e1] ) or opioid antagonists ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , codeine , oxycodone , tramadol , morphine ) or [s2] opioid antagonists [e2] ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	treatment	treatment	1_4	1_5	1.0
NonRel	has used opioid agonists ( eg , codeine , oxycodone , tramadol , morphine ) or [s1] opioid antagonists [e1] ( eg , naloxone , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , codeine , oxycodone , tramadol , morphine ) or opioid antagonists ( eg , [s2] naloxone [e2] , naltrexone ) within @NUMBER days prior to screening	treatment	treatment	1_5	1_6	1.0
NonRel	has used opioid agonists ( eg , codeine , oxycodone , tramadol , morphine ) or opioid antagonists ( eg , [s1] naloxone [e1] , naltrexone ) within @NUMBER days prior to screening	has used opioid agonists ( eg , codeine , oxycodone , tramadol , morphine ) or opioid antagonists ( eg , naloxone , [s2] naltrexone [e2] ) within @NUMBER days prior to screening	treatment	treatment	1_6	1_7	1.0
hasTemp	[s1] epileptic seizure [e1] within the past @NUMBER years of enrollment date	epileptic seizure within the [s2] past @NUMBER years [e2] of enrollment date	chronic_disease	upper_bound	2_0	2_1	2.0
hasValue	[s1] intraocular pressure ( iop ) [e1] > @NUMBER mmhg at baseline	intraocular pressure ( iop ) > [s2] @NUMBER mmhg [e2] at baseline	clinical_variable	lower_bound	3_0	3_1	3.0
NonRel	medically diagnosed [s1] memory disorder [e1] or telephone interview for cognitive status-modified ( tics-m ) score ≤ @NUMBER	medically diagnosed memory disorder or telephone interview for [s2] cognitive status-modified ( tics-m ) score [e2] ≤ @NUMBER	chronic_disease	clinical_variable	4_0	4_1	4.0
hasTemp	other diseases of the retina or [s1] cataracts [e1] responsible for worse than @NUMBER / @NUMBER best-corrected visual acuity	other diseases of the retina or cataracts responsible for worse than [s2] @NUMBER / @NUMBER [e2] best-corrected visual acuity	chronic_disease	lower_bound	5_0	5_1	5.0
